fund_code,nav_date,unit_nav,accumulated_nav,daily_return,created_at
022460,2024-11-11,1.0,,0.0,2026-06-12 06:28:59
022460,2024-11-15,0.9977,,0.0,2026-06-12 06:28:59
022460,2024-11-18,0.997,,-0.07,2026-06-12 06:28:59
022460,2024-11-19,0.9995,,0.25,2026-06-12 06:28:59
022460,2024-11-20,1.0009,,0.14,2026-06-12 06:28:59
022460,2024-11-21,1.0009,,0.0,2026-06-12 06:28:59
022460,2024-11-22,0.9875,,-1.34,2026-06-12 06:28:59
022460,2024-11-25,0.9855,,-0.2,2026-06-12 06:28:59
022460,2024-11-26,0.9833,,-0.22,2026-06-12 06:28:59
022460,2024-11-27,0.9932,,1.01,2026-06-12 06:28:59
022460,2024-11-28,0.9872,,-0.6,2026-06-12 06:28:59
022460,2024-11-29,0.9953,,0.82,2026-06-12 06:28:59
022460,2024-12-02,1.0035,,0.82,2026-06-12 06:28:59
022460,2024-12-03,1.003,,-0.05,2026-06-12 06:28:59
022460,2024-12-04,0.9976,,-0.54,2026-06-12 06:28:59
022460,2024-12-05,0.9968,,-0.08,2026-06-12 06:28:59
022460,2024-12-06,1.0091,,1.23,2026-06-12 06:28:59
022460,2024-12-09,1.0065,,-0.26,2026-06-12 06:28:59
022460,2024-12-10,1.0134,,0.69,2026-06-12 06:28:59
022460,2024-12-11,1.0136,,0.02,2026-06-12 06:28:59
022460,2024-12-12,1.0222,,0.85,2026-06-12 06:28:59
022460,2024-12-13,0.9999,,-2.18,2026-06-12 06:28:59
022460,2024-12-16,0.993,,-0.69,2026-06-12 06:28:59
022460,2024-12-17,0.993,,0.0,2026-06-12 06:28:59
022460,2024-12-18,0.9984,,0.54,2026-06-12 06:28:59
022460,2024-12-19,1.0003,,0.19,2026-06-12 06:28:59
022460,2024-12-20,0.9982,,-0.21,2026-06-12 06:28:59
022460,2024-12-23,0.9955,,-0.27,2026-06-12 06:28:59
022460,2024-12-24,1.0069,,1.15,2026-06-12 06:28:59
022460,2024-12-25,1.005,,-0.19,2026-06-12 06:28:59
022460,2024-12-26,1.0075,,0.25,2026-06-12 06:28:59
022460,2024-12-27,1.0062,,-0.13,2026-06-12 06:28:59
022460,2024-12-30,1.0093,,0.31,2026-06-12 06:28:59
022460,2024-12-31,0.992,,-1.71,2026-06-12 06:28:59
022460,2025-01-02,0.9644,,-2.78,2026-06-12 06:28:59
